Date,open,high,low,close,Volume,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend
2022-06-04 04:00:00,1.865,1.938,1.85,1.932,221019.73,1.932,[],None,0.761363636363637,0.06818181818181836,0.1704545454545446,2.05675,0
2022-06-04 08:00:00,1.933,1.98,1.926,1.952,268889.67,1.952,"['spanning top', 'inverse hammer']",None,0.3518518518518498,0.5185185185185185,0.12962962962963168,2.04515,0
2022-06-04 12:00:00,1.952,1.953,1.866,1.938,524032.96,1.938,"['spanning top', 'hanging man']",None,0.16091954022988525,0.011494252873564509,0.8275862068965503,2.03385,0
2022-06-04 16:00:00,1.939,1.958,1.921,1.933,200457.82,1.933,[],None,0.16216216216216264,0.513513513513512,0.3243243243243253,2.021,0
2022-06-04 20:00:00,1.933,2.031,1.924,2.029,286157.08,2.029,['bullish engulfing'],None,0.89719626168224,0.018691588785048785,0.08411214953271123,2.0185,0
2022-06-05 00:00:00,2.029,2.04,1.92,1.958,338892.04,1.958,[],None,0.5916666666666658,0.09166666666666759,0.31666666666666665,2.0141,0
2022-06-05 04:00:00,1.957,1.979,1.94,1.946,98633.37,1.946,"['spanning top', 'shooting star']",None,0.2820512820512841,0.5641025641025625,0.1538461538461534,2.0092000000000003,0
2022-06-05 08:00:00,1.946,1.961,1.92,1.946,267474.31,1.946,['doji'],None,0.0,0.3658536585365871,0.6341463414634129,2.0063,0
2022-06-05 12:00:00,1.946,2.012,1.915,2.008,307810.81,2.008,"['morning star', 'bullish engulfing']",None,0.6391752577319595,0.0412371134020619,0.3195876288659786,2.0035,0
2022-06-05 16:00:00,2.008,2.061,1.976,2.039,653454.03,2.039,[],None,0.36470588235294293,0.25882352941176245,0.3764705882352946,2.0014,0
2022-06-05 20:00:00,2.04,2.1,1.989,1.994,456550.92,1.994,['bearish engulfing'],None,0.41441441441441484,0.5405405405405411,0.04504504504504409,1.9979,0
2022-06-06 00:00:00,1.993,2.116,1.993,2.086,431961.44,2.086,['bullish engulfing'],None,0.7560975609756078,0.24390243902439226,0.0,1.99895,0
2022-06-06 04:00:00,2.086,2.13,2.082,2.107,290959.65,2.107,['spanning top'],None,0.43750000000000694,0.47916666666665975,0.08333333333333333,1.9972999999999999,0
2022-06-06 08:00:00,2.106,2.136,2.06,2.062,475678.16,2.062,[],None,0.5789473684210527,0.3947368421052661,0.026315789473681288,1.99285,0
2022-06-06 12:00:00,2.064,2.103,2.026,2.072,620817.5,2.072,['spanning top'],None,0.10389610389610344,0.4025974025974023,0.4935064935064943,1.99165,0
2022-06-06 16:00:00,2.072,2.08,2.002,2.049,451105.71,2.049,"['spanning top', 'bearish engulfing', 'hanging man']",None,0.29487179487179543,0.10256410256410227,0.6025641025641023,1.9922499999999999,0
2022-06-06 20:00:00,2.049,2.062,2.03,2.058,208586.58,2.058,"['spanning top', 'hammer']",None,0.28124999999999656,0.125,0.5937500000000034,1.99435,0
2022-06-07 00:00:00,2.053,2.056,1.877,1.962,801298.29,1.962,[],None,0.5083798882681562,0.01675977653631348,0.4748603351955304,1.99465,0
2022-06-07 04:00:00,1.962,1.964,1.919,1.951,235215.47,1.951,"['spanning top', 'hanging man']",None,0.24444444444444258,0.04444444444444456,0.7111111111111129,1.99435,0
2022-06-07 08:00:00,1.952,1.971,1.9,1.923,326651.97,1.923,"['three black crows', 'spanning top']",None,0.4084507042253499,0.26760563380281804,0.32394366197183205,1.99725,0
2022-06-07 12:00:00,1.923,2.003,1.889,1.973,359619.42,1.973,['bullish engulfing'],None,0.43859649122807015,0.2631578947368421,0.2982456140350877,1.9992999999999999,0
2022-06-07 16:00:00,1.972,2.03,1.955,2.003,300939.33,2.003,[],None,0.41333333333333666,0.35999999999999716,0.22666666666666618,2.00185,0
2022-06-07 20:00:00,2.004,2.05,1.926,1.949,753770.77,1.949,['bearish engulfing'],None,0.4435483870967741,0.37096774193548276,0.18548387096774316,2.0023999999999997,0
2022-06-08 00:00:00,1.947,2.003,1.926,1.934,337149.43,1.934,"['spanning top', 'shooting star']",None,0.16883116883117003,0.7272727272727262,0.10389610389610375,2.00245,0
2022-06-08 04:00:00,1.935,1.987,1.926,1.966,205047.16,1.966,[],None,0.5081967213114726,0.34426229508196843,0.14754098360655893,1.9993000000000003,0
2022-06-08 08:00:00,1.965,1.978,1.934,1.956,245845.54,1.956,['spanning top'],None,0.20454545454545706,0.2954545454545429,0.5,1.9992,0
2022-06-08 12:00:00,1.955,1.981,1.916,1.954,335182.1,1.954,[],None,0.015384615384617066,0.3999999999999993,0.5846153846153836,1.9995999999999998,0
2022-06-08 16:00:00,1.954,1.962,1.91,1.926,264642.68,1.926,['spanning top'],None,0.5384615384615384,0.15384615384615385,0.3076923076923077,1.9986000000000002,0
2022-06-08 20:00:00,1.924,1.95,1.918,1.924,127458.93,1.924,['doji'],None,0.0,0.8125,0.1875,1.9944,0
2022-06-09 00:00:00,1.923,1.954,1.904,1.943,171029.96,1.943,"['spanning top', 'morning star', 'bullish engulfing']",None,0.4,0.21999999999999778,0.3800000000000022,1.9896,0
2022-06-09 04:00:00,1.941,1.952,1.922,1.947,203827.57,1.947,['hammer'],None,0.2,0.16666666666666297,0.6333333333333371,1.9872500000000002,0
2022-06-09 08:00:00,1.948,1.96,1.933,1.939,161691.6,1.939,"['spanning top', 'bearish engulfing']",None,0.3333333333333306,0.44444444444444625,0.22222222222222313,1.9799,0
2022-06-09 12:00:00,1.94,1.945,1.921,1.933,221232.28,1.933,[],None,0.291666666666662,0.20833333333333795,0.5,1.9712,0
2022-06-09 16:00:00,1.933,1.955,1.92,1.925,286552.39,1.925,"['spanning top', 'shooting star']",None,0.22857142857142784,0.6285714285714266,0.14285714285714557,1.96435,0
2022-06-09 20:00:00,1.925,1.931,1.886,1.897,228230.68,1.897,['spanning top'],None,0.6222222222222207,0.133333333333333,0.2444444444444463,1.9555999999999998,0
2022-06-10 00:00:00,1.898,1.941,1.866,1.927,248329.1,1.927,"['spanning top', 'hammer']",None,0.3866666666666687,0.18666666666666695,0.42666666666666436,1.9494999999999998,0
2022-06-10 04:00:00,1.927,1.927,1.87,1.884,141262.82,1.884,['bearish engulfing'],None,0.7543859649122842,0.0,0.24561403508771587,1.9407999999999999,0
2022-06-10 08:00:00,1.884,1.932,1.87,1.919,225471.85,1.919,[],None,0.5645161290322619,0.20967741935483766,0.22580645161290044,1.9386500000000002,0
2022-06-10 12:00:00,1.917,1.933,1.737,1.829,1206181.89,1.829,[],None,0.4489795918367352,0.08163265306122458,0.4693877551020402,1.9325500000000002,0
2022-06-10 16:00:00,1.825,1.833,1.706,1.746,777681.81,1.746,[],None,0.6220472440944879,0.06299212598425202,0.3149606299212601,1.9236999999999997,0
2022-06-10 20:00:00,1.745,1.782,1.736,1.748,182984.29,1.748,[],None,0.06521739130434541,0.7391304347826086,0.1956521739130459,1.9124500000000002,0
